open,close,high,low,value,volume,begin,end
4082.0,4123.5,4139.0,4075.5,1323451321.5,321492.0,2023-01-03,2023-01-03 23:59:59
4124.0,4116.0,4165.5,4090.0,1675337847.5,405820.0,2023-01-04,2023-01-04 23:59:59
4121.5,4087.0,4127.0,4081.5,721588023.0,176209.0,2023-01-05,2023-01-05 23:59:59
4088.0,4089.0,4118.0,4085.0,983235157.5,239862.0,2023-01-06,2023-01-06 23:59:59
4105.0,4110.0,4123.0,4093.0,1463759207.0,356313.0,2023-01-09,2023-01-09 23:59:59
4100.0,4079.0,4104.0,4063.5,1173639565.5,287625.0,2023-01-10,2023-01-10 23:59:59
4080.0,4090.5,4099.0,4065.5,1080758322.0,264357.0,2023-01-11,2023-01-11 23:59:59
4091.0,4078.5,4094.0,4071.0,715946693.0,175454.0,2023-01-12,2023-01-12 23:59:59
4080.0,4074.0,4090.0,4068.0,908029500.5,222760.0,2023-01-13,2023-01-13 23:59:59
4078.0,4052.0,4096.5,4045.0,1884934076.0,463287.0,2023-01-16,2023-01-16 23:59:59
4052.5,4025.0,4060.5,4015.0,1321905727.5,326706.0,2023-01-17,2023-01-17 23:59:59
4037.5,4021.0,4049.0,4012.0,1090318317.5,270721.0,2023-01-18,2023-01-18 23:59:59
4019.5,3981.0,4020.0,3974.0,1653199759.0,414205.0,2023-01-19,2023-01-19 23:59:59
3982.0,3944.0,3995.0,3925.0,1519366048.0,384133.0,2023-01-20,2023-01-20 23:59:59
3950.0,3972.5,3979.5,3944.5,1348859927.0,340221.0,2023-01-23,2023-01-23 23:59:59
3986.0,3942.5,3990.0,3930.5,1175887636.5,296368.0,2023-01-24,2023-01-24 23:59:59
3949.0,3923.5,3960.0,3900.5,2123666057.5,542133.0,2023-01-25,2023-01-25 23:59:59
3924.0,3911.0,3935.0,3901.5,1277184590.0,326405.0,2023-01-26,2023-01-26 23:59:59
3911.0,3917.0,3920.0,3892.5,1848495797.0,473474.0,2023-01-27,2023-01-27 23:59:59
3929.0,3947.5,3954.0,3917.0,1264910914.0,321296.0,2023-01-30,2023-01-30 23:59:59
